ra,dec,z,zErr,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class
1.5950325,0.032971134,0.5556148,0.000176467,-0.1474732,0.6274463,2.920154,7.283088,12.03781,GALAXY
1.5862869,0.10576158,2.427022,0.00202955,0.6748394,1.171547,1.62523,1.753041,3.149127,QSO
1.55148,0.201359,0.000137271,1.62E-05,1.854162,10.24302,31.55802,48.8798,63.78952,STAR
1.5622653,1.1373587,0.5343778,0.000142004,0.1843216,0.6055346,3.381618,8.867853,13.57824,GALAXY
1.5546691,1.2168277,0.5358682,0.000123613,1.125087,0.9067107,3.95024,9.742317,16.03539,GALAXY
1.55246,1.1209984,0.5805512,0.000167335,0.000252167,0.4064432,2.103616,6.03215,9.573185,GALAXY
1.5534955,0.63813845,0.5147494,0.000133478,-0.6472429,0.665235,3.663054,9.781707,16.33215,GALAXY
1.5583373,0.43472248,2.495546,0.000152069,5.149701,6.662042,8.583497,9.48854,13.27755,QSO
1.5483092,0.53218086,0.2590445,3.42E-05,0.9754605,5.191192,21.42579,36.96911,54.33287,GALAXY
1.625553,0.490325,0.6173198,0.000142024,0.352827,0.7753237,2.7918,8.4705,15.22905,GALAXY
1.5722699,0.46137615,0.0620628,8.52E-06,12.18662,49.48785,131.3684,207.3531,296.9899,GALAXY
1.6094058,0.36868242,0.489368,0.000140781,0.6080441,1.225004,4.342393,10.29629,17.91993,GALAXY
1.6272975,0.38994284,-2.75E-05,3.31E-05,36.27316,32.86944,24.85246,19.81927,16.16971,STAR
1.6554851,0.35154715,0.6798425,0.000140712,0.06976596,0.7319306,2.129543,6.704494,12.28519,GALAXY
1.6482409,0.2854518,0.681524,0.000184926,0.1691918,0.3540655,1.55944,5.427798,10.06314,GALAXY
1.5672954,0.40509174,0.2794354,6.00E-05,1.47097,1.717355,7.587272,13.59207,20.1706,GALAXY
1.6279511,0.27440539,0.5154423,0.000109726,0.3640068,0.8721927,4.227642,10.50023,17.40552,GALAXY
1.5680452,0.54741739,0.1965911,3.00E-05,1.983003,6.814284,25.2139,44.31267,67.6264,GALAXY
1.667762,0.233257,-1.97E-06,6.90E-06,4.837144,25.55845,71.01511,104.5071,132.799,STAR
1.5776412,0.21804107,2.874956,0.001506094,0.6008317,1.123899,1.75214,2.181286,3.02522,QSO
1.5644404,0.020355412,0.5539734,0.000121095,0.1538114,0.5437713,2.601088,7.129602,12.05189,GALAXY
1.7750821,1.1936059,0.5374441,0.000175001,0.07878932,0.6862829,2.623382,6.648606,11.2936,GALAXY
1.5942294,1.1663107,-0.000106976,6.70E-05,46.01483,33.32491,21.80099,15.89278,11.76136,STAR
1.6512577,1.1881923,0.6211353,0.000142676,0.5202691,0.6745654,2.347653,6.380256,9.513316,GALAXY
1.7557437,1.1579012,2.777886,0.000684592,0.9072348,1.446397,1.668598,1.756773,2.309315,QSO
1.6815121,1.1205085,3.011942,0.000497561,2.224147,3.744013,4.985459,5.382274,5.442539,QSO
1.7821789,1.1043837,0.6871989,0.000181344,-0.2736118,0.3689462,1.770319,5.589729,9.31116,GALAXY
1.7683264,1.0623182,1.090392,0.000340962,0.9624203,1.409698,2.733163,3.174794,4.666777,QSO
1.5954647,1.051404,0.4003924,1.56E-05,0.8901927,1.648566,3.403652,4.068441,4.923585,GALAXY
1.6969238,1.0371625,2.133974,0.000452435,2.579646,1.518512,1.330785,1.524887,1.93517,QSO
1.781579,1.0298777,2.466702,0.000551087,2.089583,1.535972,1.824043,1.484445,1.41787,QSO
1.6064799,1.0756933,0.5325865,0.000135104,0.06823643,0.5095178,2.601749,7.02603,11.43752,GALAXY
1.6060507,0.98846028,0.5074183,9.89E-05,0.7133255,1.04106,5.095076,11.15757,16.8222,GALAXY
1.7672112,0.76003435,0.3452689,6.53E-05,0.5808756,1.904583,8.698831,14.92692,21.47558,GALAXY
1.6418217,0.94231133,0.6984964,0.000218372,0.4991571,1.063397,1.836042,3.794434,6.480109,QSO
1.7040786,0.71721901,0.3227157,4.21E-05,0.7739476,2.698651,12.01928,19.91898,31.5857,QSO
1.5983963,0.61937589,0.3492193,6.76E-05,0.9800624,0.3942529,1.478233,2.719855,4.227035,GALAXY
1.745328,0.59248583,0.7024032,0.000152808,-0.1148601,0.4232195,1.977299,6.342012,11.17266,GALAXY
1.7219158,0.48928751,0.2605767,3.09E-05,2.07821,4.830389,18.94852,32.15172,46.70718,GALAXY
1.7085425,0.4560635,0.5929006,0.000132797,-0.04446686,0.6140856,2.91885,8.820829,14.70398,GALAXY
1.7066262,0.35495538,0.1586106,2.07E-05,1.562977,3.031581,5.047155,6.92042,8.900835,GALAXY
1.7224732,0.3074478,0.5137218,0.000115683,2.81885,1.43963,3.748776,8.924536,15.62104,GALAXY
1.755544,0.378433,0.8881773,9.50E-05,89.27458,98.66658,127.0544,132.0673,153.7528,QSO
1.7594071,0.27357628,0.6686724,0.00021859,0.7739097,1.066668,2.163175,5.940047,11.01957,GALAXY
1.7861666,0.27704921,0.5472317,0.00018901,0.1758409,0.5758318,2.33782,6.028864,11.34207,GALAXY
1.6900796,0.30689695,0.4260387,0.000148094,-0.3568844,0.7383425,3.332627,6.496936,10.39522,GALAXY
1.7374776,0.07211234,0.506874,0.000164561,0.4673363,0.4462052,2.343989,6.10987,11.44719,GALAXY
1.6840342,0.20085342,0.61487,0.000164393,0.4902529,0.5933592,2.415195,6.833401,12.23232,GALAXY
1.7887441,0.042176451,0.5416958,0.00015291,-0.3937657,0.5292035,2.696152,6.584289,11.02215,GALAXY
